"timestamp","consent","age","gender","employment","region","income","has_bank_account","num_apps","awareness_budgeting","awareness_tracking","awareness_saving","awareness_investing","desire_manage","desire_tool","open_what_is_fm","budget_frequency","budget_followthrough","income_handling","income_handling_other","expense_tracking","expense_knowledge","saving_frequency","saving_pattern","investment_frequency","investment_barrier","sc1_resist_temptation","sc2_break_habits","sc3_act_without_thinking","sc4_stick_to_plan","sc5_give_in_moment","imp1_buy_immediately","imp2_regret_decisions","imp3_say_no_unplanned","imp4_spend_good_mood","proc1_delay_plans","proc2_put_off_statements","proc3_long_to_begin","proc4_sort_next_month","avoid1_avoid_balance","avoid2_prefer_not_think","avoid3_anxious","dg1_enjoy_now","dg2_short_term_sacrifice","dg3_unexpected_money","self_aware_level","self_aware_tendencies","self_aware_would_help","self_aware_tried_change","platforms_used","platforms_other","primary_platform","primary_reason","primary_reason_other","secondary_account_behavior","feature_autocategorize","feature_personalized_budget","feature_nudges","feature_goals","feature_investments","feature_weekly_summary","open_trust","open_hardest_part","personality_app_appeal","open_anything_else","awareness_score","consistency_score","self_control_score","impulsivity_score","procrastination_score","avoidance_score","delayed_gratification_score"
2026-03-27 19:33:22.862,"Yes, I consent - proceed to survey","25-34","Male","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N300,000 - N599,999","Yes","4-5",5,5,5,5,4,5,"Proper budgeting, expense and income tracking",4,4,"I allocate specific amounts to different categories before spending",NA,3,3,3,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","I do not have enough money left after expenses",4,2,3,4,2,2,3,4,4,2,2,2,4,1,1,1,2,3,"Use it to cover outstanding expenses or debts",4,"I often procrastinate on financial tasks, I am generally disciplined with money",2,"Yes, once or twice","Moniepoint, Opay, UBA, First Bank",NA,"First bank","My salary or main income is paid into it",NA,"Leave it there and spend from it directly",5,5,5,5,5,5,NA,"Matching income with expenses","Yes, very much","Nil",4.83333333333333,3.4,2.2,2.75,2.5,1,2.5
2026-03-27 19:50:49.281,"Yes, I consent - proceed to survey","25-34","Female","Unemployed","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","Below N100,000","Yes","2-3",5,5,5,2,5,5,"Budget, tracking expenses and investing",2,2,"I have a rough idea of how to split it but do not write it down",NA,2,2,1,"I intend to save but rarely do","No, but I have been planning to","I do not know enough about investment options",4,4,1,5,3,2,2,4,4,3,4,4,5,4,4,2,4,4,"Split it between spending, saving, and investing",3,"I often procrastinate on financial tasks, I avoid looking at my finances when things are tight, I am generally disciplined with money",5,"Yes, once or twice","Opay, Other (specify below)","Stanbic ibtc bank","Stanbic ibtc bank","It was my first or oldest account",NA,"Leave it there and spend from it directly",5,5,5,5,5,5,"Security and ease of use","Inconsistent income","Yes, very much",NA,4.5,1.8,2.2,2.5,4,3.33333333333333,3
2026-03-27 19:54:17.675,"Yes, I consent - proceed to survey","25-34","Male","Self-employed / Business owner","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","Prefer not to say","Yes","2-3",5,5,5,4,5,3,"Spending on the things that matter and ignoring uncessarry things",3,3,"I allocate specific amounts to different categories before spending",NA,5,5,4,"I save a fixed amount consistently every month","No, but I have been planning to","I keep postponing it, I do not trust investment platforms",5,1,1,5,5,1,2,5,3,3,2,2,2,1,1,1,1,5,"Split it between spending, saving, and investing",5,"I am generally disciplined with money",2,"No, I usually succeed when I try","Moniepoint, Opay, Access Bank, Zenith Bank",NA,"Moniepoint","It has better features for managing my money",NA,"It depends on the amount",5,5,5,5,5,5,"Ability to save my money well","None","No, I prefer to manage things my own way","None",4.5,4,1.8,1.75,2.25,1,1
2026-03-27 19:55:02.263,"Yes, I consent - proceed to survey","25-34","Male","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","2-3",5,5,5,5,5,5,"Discipline",1,1,"I have a rough idea of how to split it but do not write it down",NA,1,5,5,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","Not applicable - I invest consistently",3,3,3,4,3,1,1,5,1,1,3,1,1,1,1,1,1,5,"Invest all or most of it",1,"I am generally disciplined with money",5,"No, I usually succeed when I try","Moniepoint, First Bank",NA,"First Bank","It was my first or oldest account",NA,"Transfer it to my primary account immediately",5,3,3,3,3,3,NA,NA,"Yes, very much",NA,5,2.6,2.8,1,1.5,1,1
2026-03-27 19:59:25.665,"Yes, I consent - proceed to survey","35-45","Male","Employed full-time","South East — Abia, Anambra, Ebonyi, Enugu, Imo","N300,000 - N599,999","Yes","1.0",5,5,5,3,5,5,"Managing my personal finances well involves being intentional and disciplined about how I earn, spend, save, and invest my money. It means having a clear understanding of my income and expenses, creating and sticking to a realistic budget, prioritizing needs over wants, and setting aside savings consistently for emergencies and future goals. It also includes avoiding unnecessary debt, making informed financial decisions, and regularly reviewing my financial position to adjust where necessary. Ultimately, it is about ensuring financial stability today while planning responsibly for long-term growth and security.",4,5,"I have a rough idea of how to split it but do not write it down",NA,2,5,5,"I save a fixed amount consistently every month","No, but I have been planning to","I do not know enough about investment options",5,1,1,5,1,1,1,1,1,3,4,1,1,1,1,1,1,5,"Save all or most of it",5,"I am generally disciplined with money",5,"No, I usually succeed when I try","Opay",NA,"UBA","It was my first or oldest account",NA,"It depends on the amount",1,1,1,1,5,2,"The single biggest thing that would make me trust one platform enough to keep all my money there is its ability to provide credible, transparent, and consistently reliable investment advice and options. I need to be confident that the platform not only keeps my funds secure, but also helps me grow them through well-researched, low-risk, and clearly explained investment opportunities. Trust, for me, comes from a combination of strong security, proven track record, and access to guidance that shows the platform genuinely understands how to manage and multiply money effectively.","The hardest part of managing my money consistently is finding reliable and worthwhile investment opportunities that allow my savings to grow effectively.","Yes, very much","I manage my finances with a strong focus on discipline, consistent saving, and clear planning, but what would significantly help me do better is access to trustworthy, well-vetted investment opportunities and credible guidance on where to invest for sustainable growth; having a platform that simplifies this process while offering transparency and reliable insights would make a major difference in how effectively I grow my finances.",4.66666666666667,4.2,1,2,2.25,1,1
2026-03-27 20:03:10.257,"Yes, I consent - proceed to survey","35-45","Male","Self-employed / Business owner","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","4-5",4,3,5,5,5,5,"Proper allocation of funds, ensuring there is always liquidity to meet needs, proper budgeting and resource control",3,2,"I transfer most of it to another account and spend from what remains",NA,2,3,3,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","I do not have enough money left after expenses",1,5,3,2,3,2,3,5,4,4,3,4,3,5,2,2,3,2,"Split it between spending, saving, and investing",3,"I tend to spend impulsively, I avoid looking at my finances when things are tight",5,"Yes, once or twice","GTBank",NA,"Gtbank","It was my first or oldest account",NA,"Transfer it to my primary account immediately",5,5,5,5,5,5,"To transfer failure","Staying to a budget","Somewhat - I would be curious to try it","No",4.5,2.6,4,2.5,3.5,3,3.5
2026-03-27 20:08:53.945,"Yes, I consent - proceed to survey","25-34","Male","Self-employed / Business owner","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N600,000 - N999,999","Yes","2-3",5,5,5,3,5,5,"Making significant advancement through your managed finances",2,2,"I spend as needs arise and hope it lasts",NA,3,3,4,"I save a fixed amount consistently every month","No, but I have been planning to","I do not have enough money left after expenses",4,2,4,4,3,2,2,1,4,4,3,3,4,1,5,1,1,5,"Split it between spending, saving, and investing",5,"I tend to spend impulsively",5,"Yes, once or twice","GTBank",NA,"Gt","It has the best app experience",NA,"Transfer it within a few days",5,5,5,5,5,5,"Give me MOUTH WATERING interest rate","Bills","Somewhat - I would be curious to try it","I need to learn DISCIPLINE",4.66666666666667,2.8,2.6,3.25,3.5,2.33333333333333,1
2026-03-27 20:09:15.059,"Yes, I consent - proceed to survey","35-45","Male","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","More than 5",5,5,5,4,5,5,"Budgeting, investing and growing my wealth consistently",3,4,"I have a rough idea of how to split it but do not write it down",NA,3,4,5,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","Not applicable - I invest consistently",5,3,1,5,3,1,2,5,4,3,3,2,2,1,3,2,1,5,"Split it between spending, saving, and investing",5,"I am generally disciplined with money",4,"No, I usually succeed when I try","Kuda, GTBank, Access Bank, Zenith Bank",NA,"Stanbic","I trust it more than others",NA,"Leave it there and spend from it directly",5,5,5,4,5,5,"Nothing. I trust no one","Fluctuating monthly income an changing financial environments","Yes, very much","None",4.83333333333333,3.8,1.8,2,2.5,2,1
2026-03-27 20:12:16.411,"Yes, I consent - proceed to survey","25-34","Male","Self-employed / Business owner","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N100,000 - N299,999","Yes","1.0",1,1,1,4,1,1,"Spending on what’s needed and not wanted",4,4,"I spend as needs arise and hope it lasts",NA,4,2,2,"I save occasionally but not on any schedule","No, but I have been planning to","I do not know enough about investment options",4,2,2,2,2,4,1,1,1,1,4,2,2,2,4,1,4,1,"Split it between spending, saving, and investing",1,"I find it hard to stick to plans or routines",1,"Yes, multiple times","UBA",NA,"Commercial bank","Habit - I am just used to it",NA,"It depends on the amount",4,3,4,4,4,4,"Simplicity","Betting","Yes, very much","Women",1.5,3.2,2.4,2.75,2.25,2.33333333333333,4.5
2026-03-27 20:12:35.855,"Yes, I consent - proceed to survey","25-34","Male","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","2-3",5,5,5,5,5,5,NA,3,1,"I have a rough idea of how to split it but do not write it down",NA,2,2,2,"I save occasionally but not on any schedule","No, but I have been planning to","I do not know enough about investment options, I do not trust investment platforms, I find the process confusing or complicated, I prefer to keep money accessible for emergencies",2,4,3,4,2,3,2,4,4,5,5,4,5,5,5,5,3,5,"Use it to cover outstanding expenses or debts",4,"I often procrastinate on financial tasks, I avoid looking at my finances when things are tight, I struggle to delay gratification, I find it hard to stick to plans or routines",5,"Yes, multiple times","Moniepoint, Opay",NA,"OPay | Stanbic","My salary or main income is paid into it",NA,"Transfer it to my primary account immediately",5,5,5,5,5,5,NA,NA,"Yes, very much",NA,5,2,3,2.75,4.75,5,2
